id,date,due_date,supplier_type,supplier_id,supplier_taxid,project_id,stock_subttl,stock_tax,stock_grandttl,expense_subttl,expense_tax,expense_grandttl,asset_subttl,asset_tax,asset_grandttl,grandtax,grandttl,status,paidttl,note,ins,user_id,doc_ref_type,doc_ref,po_id,created_at,updated_at,suppliername,tid,tax,amountpaid,is_tax_exc
76,2022-04-22,2022-05-23,supplier,8,NULL,NULL,0,0,0,300000,0,300000,0,0,0,0,300000,pmt,300000,Payment via equity Bank ref:76680032,1,1,Equity Bank,76680032,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,300000,1
77,2022-04-22,2022-05-23,supplier,8,NULL,315,0,0,0,66910,0,66910,0,0,0,0,66910,Paid,66910,"3/8 Copper pipe(1 roll)@4,000,5/8 Copper pipe 1 roll@8,500,Armoflx 5/8 @1,280and 3/8 8 pcs each@880,1 Pkt of cable ties@250,4 cylinders of R410@52,000",1,1,DNote,1024,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,66910,1
78,2022-04-26,2022-05-27,supplier,8,NULL,468,0,0,0,60000,0,60000,0,0,0,0,60000,Paid,60000,"36,000 outdoor condensing unit 2pcs@,60,000",1,1,DNote,1030,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,60000,1
79,2022-04-26,2022-05-27,supplier,8,NULL,323,0,0,0,28300,0,28300,0,0,0,0,28300,Paid,28300,"3/8 copper pipe(1 roll)4,000,5/8 Copper pipe(1 roll),8,5001.5mm 3 core cable(1 roll)@11,500,Armoflex 5/8 5 pcs@800,Dp switch 32amps 1 pc@500, 1 pkt of M10 rawbolts@2,000,1 Mounting bracket@1,000",1,1,DNote,1033,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,28300,1
80,2022-04-26,2022-05-27,supplier,8,NULL,323,0,0,0,3000,0,3000,0,0,0,0,3000,Paid,3000,"1 pkt of m8 rawbolts@3,000",1,1,DNote,1034,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,3000,1
81,2022-04-27,2022-05-28,supplier,8,NULL,NULL,0,0,0,1200,0,1200,0,0,0,0,1200,Paid,1200,"Silicon tube@500,2pcs,Aluminium tape@700 2 pcs",1,1,DNote,1019,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,1200,1
82,2022-04-28,2022-05-29,supplier,8,NULL,325,0,0,0,15000,0,15000,0,0,0,0,15000,Paid,15000,"2.5 3 core cable 1 roll@,15,000",1,1,DNote,1037,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,15000,1
83,2022-04-28,2022-05-29,supplier,8,NULL,468,0,0,0,60000,0,60000,0,0,0,0,60000,Paid,60000,"36,000 outdoor condensing unit 2pcs@,60,000",1,1,DNote,1038,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,60000,1
84,2022-04-28,2022-05-29,supplier,8,NULL,325,0,0,0,19900,0,19900,0,0,0,0,19900,Paid,19900,"5/8 copper pipe@8,500,and 3/8 copper pipe @4,000,Amorflex 5/8 15pcs@2,400,Mounting bracket 1 pc@1,000,Breaker 32 amps 1 pcs@2,500,Dp switch 32amps 1pc@500",1,1,DNote,1039,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,19900,1
85,2022-04-28,2022-05-29,supplier,8,NULL,468,0,0,0,27000,0,27000,0,0,0,0,27000,Paid,27000,"R 22 Frio gas 3 cylinders@27,000",1,1,DNote,1040,NULL,2022-11-11,2022-11-11,FRONTFREEZE SERVICES LTD,1,0,27000,1
